id,translation_id,english,kinyarwanda,kirundi,somali
EHEZA-T-0001,Abdomen,Abdomen,Inda,Inda,Caloosha
EHEZA-T-0002,AbdomenCPESign.Hepatomegaly,Hepatomegaly,Kubyimba umwijima,Ivyimba ry'igitigu,
EHEZA-T-0003,AbdomenCPESign.Splenomegaly,Splenomegaly,Kubyimba urwangashya,Ingwara y'indugwe,Xameeti Barar
EHEZA-T-0004,AbdomenCPESign.TPRightUpper,Tender to Palpation right upper,Igice cyo hejuru iburyo kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kuryo amasubiza hejuru,
EHEZA-T-0005,AbdomenCPESign.TPRightLower,Tender to Palpation right lower,Igice cyo hasi iburyo kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kuryo amasubiza hasi,
EHEZA-T-0006,AbdomenCPESign.TPLeftUpper,Tender to Palpation left upper,Igice cyo hejuru ibumoso kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kubamfu amasubiza hejuru,
EHEZA-T-0007,AbdomenCPESign.TPLeftLower,Tender to Palpation left lower,Igice cyo hasi ibumoso kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kubamfu amasubiza hasi,
EHEZA-T-0008,AbdomenCPESign.Hernia,Hernia,Urugingo ruyobera cg rwinjira mu rundi,Isoho ry'agace k'umubiri w'indani hama kakavyimbira hanze,
EHEZA-T-0009,AbdominalPainLabel,Abdominal Pain,Kubabara mu nda,Ukubabara mu nda,Calool Xanuun
EHEZA-T-0010,Abnormal,Abnormal,,Bidasanzwe,Aan caadi ahayn
EHEZA-T-0011,Abortions,Abortions,Inda yavuyemo,Ugukoroka kw'imbanyi,Dhicis
EHEZA-T-0012,Accept,Accept,,Emeza,Aqbal
EHEZA-T-0013,Actions,Actions,Ibikorwa,Ibikorwa,Tallaabooyin
EHEZA-T-0014,ActionsTaken,Actions Taken,Ibyakozwe,Ibikorwa vyakozwe,Tallaabooyinka way fuleen
EHEZA-T-0015,ActionsToTake,Actions To Take,Ibigomba gukorwa,Ibitegekanijwe gukorwa,Talaabooyinka la qaadayo
EHEZA-T-0016,AcuteFindingsGeneralSign.LethargicOrUnconscious,Lethargic Or Unconscious,Yahwereye cyangwa yataye ubwenge,Itiro rirenze canke ukuraba canke uguta ubwenge,Tabaalac ama Miyirdaboolan
EHEZA-T-0017,AcuteFindingsGeneralSign.AcuteFindingsPoorSuck,Poor Suck,Yonka nta mbaraga,Ugukwega kutakwiye,Nuugida ku Yar
EHEZA-T-0018,AcuteFindingsGeneralSign.SunkenEyes,Sunken Eyes,Amaso yahenengeye,Amaso yacokeye,Indhaha oo God ku jira
EHEZA-T-0019,AcuteFindingsGeneralSign.PoorSkinTurgor,Poor Skin Turgor,Uruhu rwumye,Uruhu rukene,Maqaar Dilan
EHEZA-T-0020,AcuteFindingsGeneralSign.Jaundice,Jaundice,Umuhondo/umubiri wahindutse umuhondo,Ingwara y'umuhondo,Cagaarshow
EHEZA-T-0021,AcuteFindingsRespiratorySign.Stridor,Stridor,Guhumeka ajwigira,Uguhema ujwigira mu gihe uri maso,Dhuun qabad
EHEZA-T-0022,AcuteFindingsRespiratorySign.NasalFlaring,Nasal Flaring,Amazuru abyina igihe ahumeka,Ukwaguka kw'amazuru mu gihe uriko urahema,San Qaroor
EHEZA-T-0023,AcuteFindingsRespiratorySign.SevereWheezing,Severe Wheezing,Guhumeka nabi cyane ajwigira,Uguhema nabi bikaze,Shanqar aad u daran
EHEZA-T-0024,AcuteFindingsRespiratorySign.SubCostalRetractions,Sub-Costal Retractions,Icyena mu mbavu,Ugukuraho ibiri munsi y'imbavu,Dub uga soo noqonaya muruqa hoose
EHEZA-T-0025,AcuteIllness,Acute Illness,Uburwayi butunguranye,Ingwara ikaze,Xanuun soo Bood ah
EHEZA-T-0026,AcuteIllnessDangerSign.DangerSignConditionNotImproving,Condition not improving,Yanyoye imiti ariko ntiyoroherwa,"Ingene bimeze, nta terambera",Xaaladda masoo hagaagayso
EHEZA-T-0027,AcuteIllnessDangerSign.DangerSignUnableDrinkSuck,Unable to Drink/Suck,Ntashoboye kunywa/konka,Ntibishoboka kunywa/konka,Ma Cabi/Nuugi karo
EHEZA-T-0028,AcuteIllnessDangerSign.DangerSignLethargyUnconsciousness,Lethargy or Unconsciousness,Yahwereye cyangwa ntiyumva,Itiro rirenze canke ukuraba/uguta ubwenge,Tabaalac ama Miyirdabool
EHEZA-T-0029,AcuteIllnessDangerSign.DangerSignRespiratoryDistress,Respiratory Distress,Ahumeka bimugoye,Ingorane yo guhema,Howlgab Neefsashada ah
EHEZA-T-0030,AcuteIllnessDangerSign.DangerSignBloodyDiarrhea,Bloody Diarrhea,Arituma amaraso,Ugucibwamwo/uguhitwa bivanze n'amaraso,Shuban Dhiig
EHEZA-T-0031,AcuteIllnessDangerSign.DangerSignNewSkinRash,New Skin Rash,Yasheshe uduheri dushya,Uduherehere dushasha k'uruhu/urukoba,Nabar Maqaarka Cusub
EHEZA-T-0032,AcuteIllnessDiagnosis.DiagnosisCovid19Suspect,Suspected COVID-19,Aracyekwaho indwara ya COVID-19,Hiketswe umugera wa COVID-19,Looga shakisan yahay COVID-19
EHEZA-T-0033,AcuteIllnessDiagnosis.DiagnosisMalariaComplicated,Complicated Malaria,Malariya y'igikatu,Malariya ikomeye,Duumo Liidata
