id,name,kinyarwanda,kirundi,somali,name_source,translation_id,eheza_field_path,source_module,elm_construct,datatype
EHEZA-0001,Acute Illness Activity,,,,fallback,,AcuteIllnessActivity,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_type,Coded
EHEZA-0002,Symptom Review,Kureba ibimenyetso by'uburwayi,Kuraba ibimenyetso,Eegis Calaamadaha ah,translation,AcuteIllnessSymptoms,AcuteIllnessActivity.AcuteIllnessSymptoms,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_constructor,N/A
EHEZA-0003,Physical Exam,Gusuzuma,Igipimo c'umubiri,Baaritaan Jireed,translation,AcuteIllnessPhysicalExam,AcuteIllnessActivity.AcuteIllnessPhysicalExam,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_constructor,N/A
EHEZA-0004,Prior Treatment History,Amakuru ku miti yafashe,Imbere yo kuvura akahise,Ka hor Taariikhda Daaweynta,translation,AcuteIllnessPriorTreatment,AcuteIllnessActivity.AcuteIllnessPriorTreatment,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_constructor,N/A
EHEZA-0005,Laboratory,Ibizamini,Icumba c'ipimiro,Sheybaar,translation,AcuteIllnessLaboratory,AcuteIllnessActivity.AcuteIllnessLaboratory,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_constructor,N/A
EHEZA-0006,Next Steps,Ibikurikiyeho,Intambwe zikurikira,Tallaabooyinka Xiga,translation,AcuteIllnessNextSteps,AcuteIllnessActivity.AcuteIllnessNextSteps,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_constructor,N/A
EHEZA-0007,Treatment Review,Kureba imiti yahawe,Isubiramwo ry'imiti,Dib u eegida daweynta,translation,AcuteIllnessOngoingTreatment,AcuteIllnessActivity.AcuteIllnessOngoingTreatment,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_constructor,N/A
EHEZA-0008,Danger Signs,Ibimenyetso mpuruza,Ibimenyetso mburizi,Calaamadaha Halista ah,translation,AcuteIllnessDangerSigns,AcuteIllnessActivity.AcuteIllnessDangerSigns,client/src/elm/Backend/AcuteIllnessActivity/Model.elm,union_constructor,N/A
EHEZA-0009,Participant,,,,fallback,,AcuteIllnessEncounter.participant,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Text
EHEZA-0010,Sequence Number,,,,fallback,,AcuteIllnessEncounter.sequenceNumber,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Numeric
EHEZA-0011,Encounter Type,,,,fallback,,AcuteIllnessEncounter.encounterType,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Coded
EHEZA-0012,Diagnosis,,,,fallback,,AcuteIllnessEncounter.diagnosis,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Coded
EHEZA-0013,Deleted,,,,fallback,,AcuteIllnessEncounter.deleted,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Boolean
EHEZA-0014,Shard,,,,fallback,,AcuteIllnessEncounter.shard,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Text
